date,temperature_2m
2024-03-22 09:00:00+00:00,33.768997
2024-03-22 10:00:00+00:00,34.069
2024-03-22 11:00:00+00:00,33.319
2024-03-22 12:00:00+00:00,31.669
2024-03-22 13:00:00+00:00,28.269001
2024-03-22 14:00:00+00:00,25.919
2024-03-22 15:00:00+00:00,24.819
2024-03-22 16:00:00+00:00,24.569
2024-03-22 17:00:00+00:00,24.269001
2024-03-22 18:00:00+00:00,23.769001
2024-03-22 19:00:00+00:00,21.169
2024-03-22 20:00:00+00:00,22.769001
2024-03-22 21:00:00+00:00,20.919
2024-03-22 22:00:00+00:00,20.669
2024-03-22 23:00:00+00:00,18.669
2024-03-23 00:00:00+00:00,18.969
2024-03-23 01:00:00+00:00,21.269001
2024-03-23 02:00:00+00:00,23.919
2024-03-23 03:00:00+00:00,26.369001
2024-03-23 04:00:00+00:00,28.919
2024-03-23 05:00:00+00:00,31.919
2024-03-23 06:00:00+00:00,33.619
2024-03-23 07:00:00+00:00,34.718998
2024-03-23 08:00:00+00:00,35.369
2024-03-23 09:00:00+00:00,35.468998
2024-03-23 10:00:00+00:00,35.319
2024-03-23 11:00:00+00:00,34.768997
2024-03-23 12:00:00+00:00,33.169
2024-03-23 13:00:00+00:00,28.419
2024-03-23 14:00:00+00:00,29.269001
2024-03-23 15:00:00+00:00,27.319
2024-03-23 16:00:00+00:00,24.319
2024-03-23 17:00:00+00:00,23.869001
2024-03-23 18:00:00+00:00,26.019001
2024-03-23 19:00:00+00:00,21.719
2024-03-23 20:00:00+00:00,25.469
2024-03-23 21:00:00+00:00,25.519001
2024-03-23 22:00:00+00:00,21.619001
2024-03-23 23:00:00+00:00,20.119001
2024-03-24 00:00:00+00:00,21.169
2024-03-24 01:00:00+00:00,22.069
2024-03-24 02:00:00+00:00,24.219
2024-03-24 03:00:00+00:00,27.719
2024-03-24 04:00:00+00:00,31.519001
2024-03-24 05:00:00+00:00,34.718998
2024-03-24 06:00:00+00:00,36.419
2024-03-24 07:00:00+00:00,37.268997
2024-03-24 08:00:00+00:00,37.619
2024-03-24 09:00:00+00:00,37.669
2024-03-24 10:00:00+00:00,37.119
2024-03-24 11:00:00+00:00,36.018997
2024-03-24 12:00:00+00:00,32.419
2024-03-24 13:00:00+00:00,29.719
2024-03-24 14:00:00+00:00,28.469
2024-03-24 15:00:00+00:00,27.019001
2024-03-24 16:00:00+00:00,25.219
2024-03-24 17:00:00+00:00,24.669
2024-03-24 18:00:00+00:00,23.869001
2024-03-24 19:00:00+00:00,22.419
2024-03-24 20:00:00+00:00,21.669
2024-03-24 21:00:00+00:00,20.969
2024-03-24 22:00:00+00:00,20.619001
2024-03-24 23:00:00+00:00,19.719
2024-03-25 00:00:00+00:00,18.769001
2024-03-25 01:00:00+00:00,20.619001
2024-03-25 02:00:00+00:00,22.219
2024-03-25 03:00:00+00:00,25.469
2024-03-25 04:00:00+00:00,28.469
2024-03-25 05:00:00+00:00,30.869001
2024-03-25 06:00:00+00:00,32.119
2024-03-25 07:00:00+00:00,33.018997
2024-03-25 08:00:00+00:00,33.619
2024-03-25 09:00:00+00:00,33.819
2024-03-25 10:00:00+00:00,33.669
2024-03-25 11:00:00+00:00,33.218998
2024-03-25 12:00:00+00:00,32.119
2024-03-25 13:00:00+00:00,29.419
2024-03-25 14:00:00+00:00,27.969
2024-03-25 15:00:00+00:00,26.669
2024-03-25 16:00:00+00:00,25.719
2024-03-25 17:00:00+00:00,24.319
2024-03-25 18:00:00+00:00,24.969
2024-03-25 19:00:00+00:00,22.269001
2024-03-25 20:00:00+00:00,21.969
2024-03-25 21:00:00+00:00,22.069
2024-03-25 22:00:00+00:00,21.269001
2024-03-25 23:00:00+00:00,20.969
2024-03-26 00:00:00+00:00,20.019001
2024-03-26 01:00:00+00:00,20.969
2024-03-26 02:00:00+00:00,23.469
2024-03-26 03:00:00+00:00,26.919
2024-03-26 04:00:00+00:00,30.119001
2024-03-26 05:00:00+00:00,32.468998
2024-03-26 06:00:00+00:00,34.069
2024-03-26 07:00:00+00:00,35.268997
2024-03-26 08:00:00+00:00,35.169
2024-03-26 09:00:00+00:00,35.319
2024-03-26 10:00:00+00:00,34.919
2024-03-26 11:00:00+00:00,34.669
2024-03-26 12:00:00+00:00,33.569
2024-03-26 13:00:00+00:00,29.169
2024-03-26 14:00:00+00:00,29.269001
2024-03-26 15:00:00+00:00,27.169
2024-03-26 16:00:00+00:00,26.519001
2024-03-26 17:00:00+00:00,25.619001
2024-03-26 18:00:00+00:00,25.219
2024-03-26 19:00:00+00:00,24.469
2024-03-26 20:00:00+00:00,24.219
2024-03-26 21:00:00+00:00,23.319
2024-03-26 22:00:00+00:00,24.569
2024-03-26 23:00:00+00:00,21.919
2024-03-27 00:00:00+00:00,21.919
2024-03-27 01:00:00+00:00,21.119001
2024-03-27 02:00:00+00:00,23.719
2024-03-27 03:00:00+00:00,28.119001
2024-03-27 04:00:00+00:00,31.519001
2024-03-27 05:00:00+00:00,33.869
2024-03-27 06:00:00+00:00,34.768997
2024-03-27 07:00:00+00:00,35.018997
2024-03-27 08:00:00+00:00,35.768997
2024-03-27 09:00:00+00:00,36.018997
2024-03-27 10:00:00+00:00,35.869
2024-03-27 11:00:00+00:00,35.369
2024-03-27 12:00:00+00:00,34.268997
2024-03-27 13:00:00+00:00,32.419
2024-03-27 14:00:00+00:00,30.669
2024-03-27 15:00:00+00:00,28.719
2024-03-27 16:00:00+00:00,26.969
2024-03-27 17:00:00+00:00,26.619001
2024-03-27 18:00:00+00:00,25.769001
2024-03-27 19:00:00+00:00,25.269001
2024-03-27 20:00:00+00:00,24.769001
2024-03-27 21:00:00+00:00,24.169
2024-03-27 22:00:00+00:00,24.369001
2024-03-27 23:00:00+00:00,23.719
2024-03-28 00:00:00+00:00,23.169
2024-03-28 01:00:00+00:00,22.919
2024-03-28 02:00:00+00:00,25.569
2024-03-28 03:00:00+00:00,29.719
2024-03-28 04:00:00+00:00,32.919
2024-03-28 05:00:00+00:00,35.169
2024-03-28 06:00:00+00:00,36.819
2024-03-28 07:00:00+00:00,38.169
2024-03-28 08:00:00+00:00,39.119
2024-03-28 09:00:00+00:00,39.569
2024-03-28 10:00:00+00:00,39.468998
